#TYPE Selected.System.IO.DirectoryInfo
"Name";"CreationTime";"LastWriteTime"
"1917 (2019)";"30/06/2020 02:24:25";"30/06/2020 02:24:37"
"2 Guns (2013)";"18/07/2021 22:11:52";"28/07/2021 21:15:31"
"A Brilliant Young Mind (2014)";"29/11/2020 21:51:02";"30/11/2020 14:35:26"
"A Dangerous Method (2011)";"11/10/2020 11:41:23";"30/11/2020 14:44:19"
"A Nice Girl Like You (2020)";"19/07/2020 20:08:24";"28/07/2020 20:34:13"
"A Star Is Born (2018)";"28/11/2021 20:13:20";"28/11/2021 20:13:20"
"Abduction (2011)";"20/11/2021 16:03:46";"25/11/2021 20:46:53"
"About Time (2013)";"12/02/2023 16:22:04";"26/02/2023 13:04:42"
"Ad Astra (2019)";"01/07/2020 00:14:08";"02/07/2020 21:13:52"
"Allegiant (2016)";"31/10/2020 15:25:45";"22/03/2022 20:04:55"
"American Assassin (2017)";"19/04/2021 22:44:26";"20/04/2021 12:13:39"
"American Hero (2015)";"06/08/2020 22:33:13";"11/08/2020 22:37:49"
"American Made (2017)";"31/08/2021 22:00:35";"12/09/2021 19:11:54"
"American Ultra (2015)";"29/11/2020 22:25:52";"22/12/2020 21:53:03"
"An Officer and a Spy (2019)";"17/03/2023 11:00:05";"17/03/2023 11:00:21"
"Anna (2019)";"05/09/2021 20:04:29";"12/09/2021 19:11:28"
"Anna Karenina (2012)";"20/11/2021 15:44:57";"13/12/2021 17:34:09"
"Apex (2021)";"10/11/2021 20:23:29";"13/12/2021 17:31:18"
"Aquaman (2018)";"11/11/2022 14:15:06";"21/11/2022 17:54:05"
"Army Of Thieves (2021)";"02/11/2021 20:54:48";"06/11/2021 00:24:14"
"Atomic Blonde (2017)";"08/02/2023 21:44:15";"26/02/2023 13:03:55"
"Bastille Day (2016)";"26/07/2022 00:28:32";"03/09/2022 14:43:43"
"Batman V Superman Dawn Of Justice (2016)";"27/02/2022 21:09:25";"20/03/2022 11:28:52"
"Becky (2020)";"20/07/2020 23:02:50";"28/07/2020 20:36:06"
"Birds Of Prey And The Fantabulous Emancipation Of One Harley Quinn (2020)";"08/07/2022 23:17:57";"10/07/2022 12:34:03"
"Blade Runner 2049 (2017)";"25/05/2022 22:03:41";"08/07/2022 22:38:32"
"Boite Noire (2021)";"17/03/2023 11:00:57";"17/03/2023 11:01:35"
"Breaking & Exiting (2018)";"30/05/2022 09:57:06";"08/07/2022 22:39:05"
"Breaking And Exiting (2018)";"20/04/2021 13:12:55";"25/04/2021 21:14:45"
"Bruce Almighty (2003)";"27/02/2022 11:08:09";"27/02/2022 20:03:44"
"Bullet Train (2022)";"22/11/2022 04:40:02";"02/12/2022 12:23:47"
"Career Opportunities (1991)";"21/11/2022 16:40:52";"02/12/2022 12:22:45"
"Chaos Walking (2021)";"03/04/2021 14:02:27";"20/04/2021 12:15:26"
"Charlie's Angels (2019)";"09/10/2020 17:15:09";"13/10/2020 01:55:31"
"Cheaper By The Dozen (2022)";"22/03/2022 22:07:55";"27/03/2022 15:37:26"
"Cigarettes Et Chocolat Chaud (2016)";"07/07/2021 23:24:11";"22/03/2022 20:01:26"
"Click (2006)";"05/02/2023 23:08:21";"26/02/2023 13:04:15"
"Code 8 (2019)";"01/07/2020 00:17:41";"01/07/2020 03:01:44"
"Comme un chef (2012)";"07/10/2022 01:02:40";"11/10/2022 00:01:22"
"Crimson Tide (1995)";"07/07/2020 20:35:14";"12/07/2020 12:47:51"
"Cruella (2021)";"31/05/2021 00:17:50";"01/07/2021 21:31:26"
"Death On The Nile (2022)";"28/03/2022 01:31:28";"21/05/2022 15:31:02"
"Demolition (2015)";"29/11/2020 22:23:44";"22/12/2020 21:53:42"
"Destination Wedding (2018)";"08/05/2021 20:31:52";"21/05/2021 23:53:16"
"Deux Moi (2019)";"25/07/2022 21:36:05";"25/07/2022 21:36:05"
"Devotion (2022)";"10/01/2023 00:40:20";"19/01/2023 22:25:53"
"Die Hard (1988)";"23/02/2019 18:35:07";"23/02/2019 18:35:07"
"Die Hard (1990)";"23/02/2019 18:36:06";"23/02/2019 18:36:06"
"Die Hard (1995)";"23/02/2019 18:36:50";"23/02/2019 18:36:50"
"Die Hard (2007)";"23/02/2019 18:37:34";"23/02/2019 18:38:52"
"Divergent";"30/11/2020 14:32:30";"30/11/2020 14:36:47"
"Dont Look Up (2021)";"28/12/2021 22:17:44";"14/01/2022 11:12:42"
"Dune (2021)";"21/10/2021 21:22:43";"06/11/2021 00:22:41"
"Dunkirk (2017)";"30/06/2020 02:13:28";"30/06/2020 23:36:44"
"Easy A (2010)";"29/11/2020 00:00:22";"30/11/2020 14:37:13"
"Evan Almighty (2007)";"27/02/2022 11:07:37";"27/02/2022 20:03:44"
"Extraction (2020)";"01/07/2020 00:16:38";"02/07/2020 21:14:47"
"Fantastic Beasts The Secrets Of Dumbledore (2022)";"30/05/2022 12:29:51";"08/07/2022 22:36:49"
"Fantastic Four (2005)";"30/07/2020 22:22:07";"11/08/2020 22:37:12"
"Fantastic Four Rise Of The Silver Surfer (2007)";"30/07/2020 22:22:38";"11/08/2020 22:37:32"
"Fatherhood (2021)";"21/06/2021 20:33:58";"01/07/2021 21:39:20"
"Fifty Shades Darker (2017)";"08/10/2020 18:28:09";"30/11/2020 14:44:46"
"Fifty Shades Freed (2018)";"08/10/2020 18:16:19";"30/11/2020 14:33:21"
"Fifty Shades of Grey (2015)";"08/10/2020 18:16:43";"30/11/2020 14:45:14"
"Fight Club (1999)";"28/09/2020 04:07:44";"20/04/2021 12:22:46"
"Final Girl (2015)";"11/07/2020 18:54:44";"13/07/2020 07:49:17"
"Firestarter (2022)";"13/05/2022 17:14:58";"21/05/2022 15:27:58"
"First Man (2018)";"01/07/2020 00:06:53";"02/07/2020 21:13:52"
"Five (2016)";"17/03/2023 11:01:14";"17/03/2023 11:01:39"
"Ford V Ferrari (2019)";"28/07/2021 21:14:49";"11/08/2021 10:12:58"
"Freaky (2020)";"29/01/2021 15:30:48";"20/04/2021 12:19:26"
"Free Guy (2021)";"25/09/2021 11:48:22";"12/10/2021 21:57:37"
"Fury (2014)";"19/02/2021 19:46:55";"20/04/2021 12:17:36"
"Gladiator (2000)";"06/02/2021 19:04:34";"20/04/2021 12:19:25"
"Good Will Hunting (1997)";"07/02/2021 18:29:09";"20/04/2021 12:18:52"
"Green Book (2018)";"28/06/2020 22:39:02";"12/07/2020 12:47:51"
"Greyhound (2020)";"12/07/2020 16:57:47";"14/07/2020 21:31:53"
"Gunpowder Milkshake (2021)";"15/07/2021 21:06:17";"17/07/2021 22:18:34"
"Hacksaw Ridge (2016)";"30/06/2020 02:16:10";"30/06/2020 23:56:56"
"Harry Potter 1 And The Sorcerers Stone (2001)";"23/02/2019 18:38:52";"23/02/2019 18:40:00"
"Harry Potter 2 And The Chamber Of Secrets (2002)";"23/02/2019 18:40:00";"23/02/2019 18:41:09"
"Harry Potter 3 And The Prisoner Of Azkaban (2004)";"23/02/2019 18:41:09";"23/02/2019 18:42:12"
"Harry Potter 4 And The Goblet Of Fire (2005)";"23/02/2019 18:42:12";"23/02/2019 18:43:34"
"Harry Potter 5 And The Order Of The Phoenix (2007)";"23/02/2019 18:43:34";"23/02/2019 18:44:35"
"Harry Potter 6 and the Half Blood Prince (2009)";"23/02/2019 18:44:35";"23/02/2019 18:45:47"
"Harry Potter 7 And The Deathly Hallows Part 1 (2010)";"23/02/2019 18:45:47";"23/02/2019 18:46:54"
"Harry Potter 7 And The Deathly Hallows Part 2 (2011)";"23/02/2019 18:46:54";"23/02/2019 18:47:52"
